ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13473926,JH280208,05/26/2024 05:00:00 PM,056XX N SHERIDAN RD,1310,CRIMINAL DAMAGE,TO PROPERTY,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,false,false,2022,020,48,77,14,1168614,1937732,2024,05/17/2025 03:40:52 PM,41.984665895,-87.655222033,"(41.984665895, -87.655222033)"
13471543,JH277260,05/24/2024 03:23:00 PM,013XX E 87TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0412,004,8,48,07,1186693,1847566,2024,05/17/2025 03:40:52 PM,41.736834406,-87.591595582,"(41.736834406, -87.591595582)"
13465436,JH269795,05/17/2024 02:45:00 AM,041XX N BELL AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,false,false,1911,019,47,5,05,1160621,1927474,2024,05/17/2025 03:40:52 PM,41.956687357,-87.684904865,"(41.956687357, -87.684904865)"
13467174,JH271935,05/20/2024 08:21:00 PM,027XX W DIVISION ST,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,SMALL RETAIL STORE,false,false,1423,014,26,24,04A,1158012,1907868,2024,05/17/2025 03:40:52 PM,41.902940868,-87.695032866,"(41.902940868, -87.695032866)"
13465566,JH269937,05/19/2024 01:39:00 PM,002XX E RANDOLPH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,PARK PROPERTY,true,false,0114,001,42,32,15,1177923,1901223,2024,05/17/2025 03:40:52 PM,41.884276844,-87.622098929,"(41.884276844, -87.622098929)"
13471897,JH277654,05/24/2024 08:33:00 PM,039XX W WASHINGTON BLVD,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,true,false,1122,011,28,26,15,1150075,1900126,2024,05/17/2025 03:40:52 PM,41.881854367,-87.724388981,"(41.881854367, -87.724388981)"
13474091,JH280395,05/27/2024 04:15:00 AM,121XX S EMERALD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,true,0523,005,21,53,14,1173513,1824402,2024,05/17/2025 03:40:52 PM,41.67357052,-87.640565414,"(41.67357052, -87.640565414)"
13462570,JH266258,05/16/2024 06:14:00 PM,005XX W 62ND ST,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,true,true,0711,007,20,68,04A,1173816,1863816,2024,05/17/2025 03:40:52 PM,41.781721242,-87.638291589,"(41.781721242, -87.638291589)"
13473521,JH279689,05/26/2024 03:31:00 AM,030XX W LAKE ST,0620,BURGLARY,UNLAWFUL ENTRY,COMMERCIAL / BUSINESS OFFICE,false,false,1222,012,27,27,05,1156116,1900995,2024,05/17/2025 03:40:52 PM,41.884119221,-87.702182965,"(41.884119221, -87.702182965)"
13464005,JH268094,05/18/2024 12:28:00 AM,074XX S HARVARD AVE,2020,NARCOTICS,POSSESS - AMPHETAMINES,STREET,true,false,0731,007,6,69,18,1175244,1855622,2024,05/17/2025 03:40:52 PM,41.759204186,-87.633300731,"(41.759204186, -87.633300731)"
